MP30_TEST_356P_T Side_Top_GAP SETTING	Bond Gap: 200 Microns
Time	Force (mN)	Averaged CDS (microns)
05:14:.791	-0.070208	573.210329
05:15:.105	-0.142751	573.142017
05:15:.409	-0.180506	573.327721
05:15:.717	-0.137067	573.745496
05:15:.998	-0.137582	574.359449
05:16:.305	-0.093100	575.034547
05:16:.634	-0.122179	575.980252
05:16:.918	-0.133448	576.917804
05:17:.211	-0.141173	577.815382
05:17:.478	-0.146640	578.701638
05:17:.755	-0.131167	579.552580
05:18:.057	-0.129602	580.498621
05:18:.362	-0.093227	581.603655
05:18:.660	-0.084777	582.633817
05:18:.948	-0.064456	583.671726
05:19:.261	-0.076883	584.705791
05:19:.569	-0.101039	585.992988
05:19:.860	-0.113578	586.997460
05:20:.147	-0.093527	588.078964
05:20:.439	-0.032954	589.125252
05:20:.746	0.006364	590.199256
05:21:.034	-0.054021	591.361869
05:21:.339	-0.069671	592.324538
05:21:.624	-0.047227	593.396828
05:21:.910	-0.047840	594.484729
05:22:.200	-0.091921	595.408327
05:22:.474	-0.105464	596.457366
05:22:.754	-0.114193	597.439184
05:23:.032	-0.102823	598.426891
05:23:.339	-0.136101	599.501930
05:23:.628	-0.139943	600.643351
05:23:.950	-0.155320	601.797363
05:24:.256	-0.148511	603.050632
05:24:.540	-0.171198	604.195117
05:24:.839	-0.130923	605.212709
05:25:.141	-0.137532	606.419363
05:25:.432	-0.115292	607.547155
05:25:.725	-0.123611	608.580260
05:26:.025	-0.099870	609.704084
05:26:.338	-0.096313	610.883178
05:26:.619	-0.127533	612.059029
05:26:.919	-0.143563	613.075859
05:27:.224	-0.140644	614.195699
05:27:.540	-0.151956	615.385444
05:27:.843	-0.125842	616.603485
05:28:.119	-0.112410	617.785354
05:28:.424	-0.101331	618.859460
05:28:.723	-0.086917	619.981994
05:29:.047	-0.097515	621.181559
05:29:.367	-0.128921	622.389233
05:29:.646	-0.139523	623.596379
05:29:.965	-0.146112	624.582575
05:30:.265	-0.109680	625.794018
05:30:.572	-0.133703	626.870565
05:30:.861	-0.116650	627.912289
05:31:.147	-0.105532	629.021722
05:31:.436	-0.109694	630.051706
05:31:.706	-0.118677	631.147588
05:32:.011	-0.101722	632.227999
05:32:.300	-0.117835	633.318053
05:32:.597	-0.129621	634.443141
05:32:.917	-0.135176	635.535202
05:33:.190	-0.160407	636.743717
05:33:.505	-0.114701	637.804668
05:33:.799	-0.138532	639.017310
05:34:.108	-0.130302	640.160097
05:34:.412	-0.130338	641.300389
05:34:.693	-0.139255	642.439426
05:34:.994	-0.151968	643.525100
05:35:.278	-0.120980	644.741463
05:35:.562	-0.120141	645.855946
05:35:.859	-0.130227	646.987622
05:36:.165	-0.106812	648.193279
05:36:.454	-0.115015	649.331810
05:36:.740	-0.079164	650.485124
05:37:.050	-0.098169	651.651132
05:37:.322	-0.098318	652.771518
05:37:.604	-0.128387	653.853694
05:37:.917	-0.119396	654.974182
05:38:.222	-0.129177	656.216176
05:38:.520	-0.132873	657.394439
05:38:.789	-0.142866	658.528057
05:39:.092	-0.136446	659.599389
05:39:.380	-0.122190	660.693885
05:39:.690	-0.147000	661.811233
05:39:.988	-0.085544	662.918729
05:40:.270	-0.102697	664.133243
05:40:.586	-0.089225	665.180568
05:40:.863	-0.194734	666.411382
05:41:.173	-0.120451	667.417902
05:41:.468	-0.108359	668.602133
05:41:.772	-0.124427	669.678187
05:42:.049	-0.160807	670.836242
05:42:.340	-0.107148	671.887078
05:42:.622	-0.140854	672.964001
05:42:.892	-0.136564	673.977540
05:43:.199	-0.133006	675.036857
05:43:.498	-0.127440	676.139402
