MP30_TEST_356P_T Side_Top_MIRROR DETECT	Bond Gap: 200 Microns
Time	Force (mN)	Averaged CDS (microns)
00:28:.038	0.078652	0.349647
00:31:.006	0.015678	-0.504793
00:31:.320	0.078470	-0.989984
00:31:.616	0.063539	-1.042473
00:31:.923	0.075705	-0.782624
00:32:.202	0.065467	-0.345165
00:32:.506	0.069861	0.216532
00:32:.794	0.023530	0.926062
00:33:.093	0.018701	1.695348
00:33:.392	0.030360	2.526654
00:33:.691	0.012603	3.483463
00:33:.995	-0.019052	4.518017
00:34:.293	-0.013660	5.531859
00:34:.583	0.019395	6.587625
00:34:.892	-0.017253	7.690586
00:35:.179	-0.036098	8.759422
00:35:.489	-0.019139	9.844216
00:35:.803	-0.001597	10.985292
00:36:.101	0.004056	12.136293
00:36:.416	0.022427	13.245716
00:36:.720	0.006264	14.390998
00:37:.015	0.008168	15.552686
00:37:.332	-0.000118	16.626507
00:37:.636	-0.011389	17.773357
00:37:.935	0.009882	18.878595
00:38:.259	0.019847	20.056304
00:38:.559	-0.015927	21.299258
00:38:.854	0.024344	22.419023
00:39:.205	0.054458	23.741214
00:39:.547	0.061963	24.954860
00:39:.827	0.024098	26.047819
00:40:.109	-0.020039	27.099612
00:40:.390	-0.013543	28.113381
00:40:.672	-0.037950	29.147631
00:40:.979	0.031711	30.142415
00:41:.283	0.009911	31.249077
00:41:.574	-0.014991	32.360157
00:41:.880	-0.010501	33.478500
00:42:.183	-0.005755	34.586516
00:42:.484	-0.030699	35.786110
00:42:.853	-0.011281	37.217390
00:43:.151	-0.062325	38.437915
00:43:.476	-0.043101	39.568253
00:43:.804	-0.064736	40.852655
00:44:.119	-0.025838	42.198366
00:44:.439	-0.035081	43.325481
00:44:.741	-0.050315	44.561975
00:45:.025	-0.025398	45.638256
00:45:.331	-0.031063	46.678181
00:45:.619	-0.023709	47.839881
00:45:.917	0.016085	48.831446
00:46:.209	0.001936	49.982655
00:46:.515	0.055383	51.064311
00:46:.821	-0.004220	52.338389
00:47:.118	0.002824	53.492927
00:47:.421	-0.001923	54.613309
00:47:.773	0.027012	55.863672
00:48:.060	0.033627	57.115167
00:48:.374	0.003786	58.264535
00:48:.675	-0.007543	59.473811
00:48:.961	0.007725	60.560051
00:49:.290	-0.041763	61.703484
00:49:.608	-0.046216	62.980052
00:49:.919	-0.044807	64.144849
00:50:.214	-0.017021	65.364821
00:50:.533	-0.039664	66.556890
00:50:.857	-0.037684	67.920802
00:51:.165	-0.006524	69.079477
00:51:.494	0.011328	70.332361
00:51:.808	0.044860	71.545626
00:52:.113	-0.013685	72.778837
00:52:.445	-0.037354	73.965605
00:52:.781	-0.047432	75.318027
00:53:.100	-0.060675	76.589254
00:53:.413	-0.070011	77.767947
00:53:.738	-0.077536	78.935800
00:54:.031	-0.040130	80.153161
00:54:.333	-0.064050	81.318914
00:54:.636	-0.059672	82.545305
00:54:.944	-0.057525	83.690967
00:55:.247	-0.045228	84.846239
00:55:.545	-0.009322	85.945274
00:55:.846	-0.018779	87.058613
00:56:.146	0.013194	88.188468
00:56:.467	-0.057522	89.226795
00:56:.789	-0.078396	90.382251
00:57:.131	-0.047329	91.567603
00:57:.435	-0.056989	92.727710
00:57:.759	-0.081263	93.878542
00:58:.068	-0.083126	95.020350
00:58:.366	-0.053457	96.059054
00:58:.665	-0.064261	97.099738
00:58:.954	-0.082424	98.173470
00:59:.264	-0.040699	99.196428
00:59:.557	-0.073183	100.289285
00:59:.851	-0.037221	101.271376
01:00:.165	-0.050451	102.316707
01:00:.465	-0.044641	103.355329
01:00:.790	-0.015276	104.415951
01:01:.092	-0.025011	105.543922
01:01:.390	-0.059212	106.589887
01:01:.697	-0.061785	107.608143
01:01:.999	-0.047398	108.630061
01:02:.283	-0.003445	109.645738
01:02:.600	-0.046754	110.649246
01:02:.901	-0.051635	111.731300
01:03:.198	-0.048865	112.779963
01:03:.498	-0.078659	113.803521
01:03:.792	-0.075949	114.835500
01:04:.089	-0.052601	115.841214
01:04:.393	-0.076084	116.929495
01:04:.682	-0.035415	117.915174
01:04:.986	-0.063389	118.968208
01:05:.295	-0.053144	120.051721
01:05:.614	-0.071084	121.139095
01:05:.936	-0.059933	122.200715
01:06:.270	-0.064616	123.356752
01:06:.573	-0.065269	124.449450
01:06:.871	-0.108586	125.514996
01:07:.190	-0.110263	126.607699
01:07:.499	-0.137107	127.675722
